"Material 
ID","Elastic modulus 
(GPa)","Yield strength 
(MPa)","Density 
(kg/m3)",Price (INR/m2  of sheet)
1,27,5,500,50
2,29,6,520,55
3,31,6,550,60
4,33,7,400,65
5,35,7,650,70
6,37,8,660,75
7,39,8,670,80
8,41,9,680,85
9,43,9,690,90
10,45,10,686,95
11,47,10,682,100
12,49,11,678,105
13,51,11,674,110
14,53,12,670,115
15,55,12,666,120
16,57,13,662,125
17,59,13,658,130
18,61,14,654,135
19,63,14,647,140
20,65,15,640,145
21,67,15,633,150
22,69,16,626,155
23,71,16,619,160
24,73,17,612,165
25,75,17,605,170
26,77,18,598,175
27,79,18,591,180
28,81,19,584,185
29,83,19,577,190
30,85,20,570,195
